keys,zh,en
OPTION_PARENTS_CARE_C_TEXT,请保姆照顾,Hire a caregiver
OPTION_CAREER_PROMOTION_A_TEXT,争取晋升,Go for the promotion
OPTION_CAREER_PROMOTION_B_TEXT,保持现状，工作生活平衡,"Maintain status quo, work-life balance"
OPTION_CAREER_PROMOTION_C_TEXT,跳槽去对手公司,Jump to a competitor
OPTION_HEALTH_WARNING_A_TEXT,重视健康，开始锻炼,"Take health seriously, start exercising"
OPTION_HEALTH_WARNING_B_TEXT,吃保健品,Take supplements
OPTION_HEALTH_WARNING_C_TEXT,工作太忙，没时间管,"Too busy, no time for this"
OPTION_SERIOUS_DISEASE_A_TEXT,积极治疗,Aggressive treatment
OPTION_SERIOUS_DISEASE_B_TEXT,保守治疗,Conservative treatment
OPTION_SERIOUS_DISEASE_C_TEXT,放弃治疗，享受余生,"Give up treatment, enjoy remaining time"
OPTION_ACCIDENT_A_TEXT,手术抢救,Emergency surgery
OPTION_ACCIDENT_B_TEXT,听天由命,Leave it to fate
OPTION_WORK_BURNOUT_A_TEXT,请个长假，出去走走,"Take a long break, go travel"
OPTION_WORK_BURNOUT_B_TEXT,咬牙坚持，习惯就好,"Grin and bear it, get used to it"
OPTION_WORK_BURNOUT_C_TEXT,考虑换个方向,Consider changing direction
OPTION_INVESTMENT_A_TEXT,投入大量资金,Invest heavily
OPTION_INVESTMENT_B_TEXT,小试牛刀，投一点,Test the waters with a small amount
OPTION_INVESTMENT_C_TEXT,不碰，稳妥为上,"Stay away, safety first"
OPTION_NEIGHBOR_DISPUTE_A_TEXT,找物业投诉,File complaint with property management
OPTION_NEIGHBOR_DISPUTE_B_TEXT,直接上门理论,Confront them directly
OPTION_NEIGHBOR_DISPUTE_C_TEXT,忍了，搬家算了,"Just endure it, move away"
OPTION_CHILDREN_GROWING_A_TEXT,尊重孩子的选择,Respect the child's choices
OPTION_CHILDREN_GROWING_B_TEXT,严格要求，不能走弯路,"Be strict, no wrong turns allowed"
OPTION_CHILDREN_GROWING_C_TEXT,顺其自然吧,Let nature take its course
OPTION_MIDLIFE_SKILL_A_TEXT,学烹饪，犒劳家人,"Learn cooking, treat the family"
OPTION_MIDLIFE_SKILL_B_TEXT,学编程，跟上时代,"Learn coding, keep up with the times"
OPTION_MIDLIFE_SKILL_C_TEXT,学太极，强身健体,"Learn Tai Chi, stay fit"
OPTION_RETIREMENT_PLAN_A_TEXT,安享晚年，含饴弄孙,"Enjoy retirement, play with grandkids"
OPTION_RETIREMENT_PLAN_B_TEXT,发挥余热，做社区志愿者,"Stay active, volunteer in community"
OPTION_RETIREMENT_PLAN_C_TEXT,开始学新东西，活到老学到老,"Start learning new things, lifelong learning"
OPTION_RETIREMENT_PLAN_D_TEXT,这一生已经足够了,This life has been enough
OPTION_CHRONIC_ILLNESS_A_TEXT,坚持锻炼，积极对抗,"Keep exercising, fight back actively"
OPTION_CHRONIC_ILLNESS_B_TEXT,吃药调养，顺其自然,"Take medicine, let nature run its course"
OPTION_CHRONIC_ILLNESS_C_TEXT,不管了，该吃吃该喝喝,"Ignore it, eat drink and be merry"
OPTION_FAMILY_REUNION_A_TEXT,享受天伦之乐,Enjoy family happiness
OPTION_FAMILY_REUNION_B_TEXT,叮嘱晚辈好好工作,Urge the young ones to work hard
OPTION_FAMILY_REUNION_C_TEXT,和家人一起旅行,Travel together as a family
OPTION_FAMILY_REUNION_D_TEXT,独自享受宁静时光,Enjoy quiet time alone
OPTION_FAMILY_REUNION_E_TEXT,此生足矣，无憾了,"This life is enough, no regrets"
OPTION_OLD_FRIEND_A_TEXT,畅叙旧情，感慨人生,"Chat about old times, reflect on life"
OPTION_OLD_FRIEND_B_TEXT,约好以后常聚,Promise to meet more often
OPTION_OLD_FRIEND_C_TEXT,看淡生死，坦然面对,Accept mortality with equanimity
OPTION_LEGACY_A_TEXT,写回忆录,Write a memoir
OPTION_LEGACY_B_TEXT,当导师带徒弟,Become a mentor
OPTION_LEGACY_C_TEXT,默默看着就好,Just watch quietly
OPTION_HEALTH_CRISIS_A_TEXT,全力治疗,Full-on treatment
OPTION_HEALTH_CRISIS_B_TEXT,保守治疗，珍惜当下,"Conservative treatment, cherish the present"
OPTION_HEALTH_CRISIS_C_TEXT,放弃治疗,Give up treatment
OPTION_LIFE_REFLECTION_A_TEXT,此生无憾,No regrets in this life
OPTION_LIFE_REFLECTION_B_TEXT,有些遗憾，但已释然,"Some regrets, but at peace now"
OPTION_LIFE_REFLECTION_C_TEXT,如果重来，一定不同,"If I could do it over, it would be different"
OPTION_PUBERTY_REBELLION_A_TEXT,跟父母大吵一架，离家出走,"Have a huge fight with parents, run away from home"
OPTION_PUBERTY_REBELLION_B_TEXT,沉默对抗，写日记发泄,"Silent resistance, write in diary"
OPTION_PUBERTY_REBELLION_C_TEXT,试着理解父母的苦心,Try to understand parents' intentions
OPTION_FIRST_LOVE_A_TEXT,偷偷递纸条表白,Secretly pass a note to confess
OPTION_FIRST_LOVE_B_TEXT,把心思放在学习上,Focus on studies instead
OPTION_FIRST_LOVE_C_TEXT,默默关注，享受心动的感觉,"Watch from afar, enjoy the feeling"
OPTION_MIDLIFE_CONFUSION_A_TEXT,报名心理咨询，正视内心,"Sign up for counseling, face inner self"
OPTION_MIDLIFE_CONFUSION_B_TEXT,买辆摩托车，去远方,"Buy a motorcycle, ride into the distance"
OPTION_MIDLIFE_CONFUSION_C_TEXT,继续过日子，迷茫就迷茫吧,"Keep living, confusion is fine"
OPTION_RETIREMENT_HOBBY_A_TEXT,学书法，修身养性,"Learn calligraphy, cultivate the mind"
OPTION_RETIREMENT_HOBBY_B_TEXT,跳广场舞，交朋友,"Join square dancing, make friends"
OPTION_RETIREMENT_HOBBY_C_TEXT,养花种菜，享受田园,"Garden, enjoy country life"
OPTION_RETIREMENT_HOBBY_D_TEXT,心满意足，安享天年,"Content and satisfied, enjoy golden years"
OPTION_OLD_FRIEND_PASSING_A_TEXT,写一篇文章纪念他,Write an article to commemorate him
OPTION_OLD_FRIEND_PASSING_B_TEXT,更加珍惜身边的人,Cherish those around me even more
OPTION_OLD_FRIEND_PASSING_C_TEXT,独自沉默了很久,Sat in silence for a long time
OPTION_OLD_FRIEND_PASSING_D_TEXT,随他而去吧，我也该走了,"Follow him, it's my time too"
OPTION_TWILIGHT_WISDOM_A_TEXT,把感悟告诉年轻人,Share insights with the young
OPTION_TWILIGHT_WISDOM_B_TEXT,写下来，留给后人,"Write it down, leave it for future generations"
OPTION_TWILIGHT_WISDOM_C_TEXT,微笑着，什么都不说,"Smile, say nothing"
STAGE_CHILDHOOD_NAME,童年,Childhood
STAGE_CHILDHOOD_DESC,无忧无虑的童年时光，学习基础知识，培养兴趣。,"Carefree childhood days. Learn basics, cultivate interests."
STAGE_MIDDLE_AGE_NAME,中年,Middle Age
STAGE_MIDDLE_AGE_DESC,事业与家庭的双重压力，健康开始走下坡路。,Dual pressures of career and family. Health starts declining.
STAGE_OLD_AGE_NAME,老年,Old Age
STAGE_OLD_AGE_DESC,回顾一生，面对最终审判。属性逐年递减。,"Reviewing a lifetime, facing final judgment. Attributes decline yearly."
STAGE_YOUTH_NAME,青年,Youth
STAGE_YOUTH_DESC,求学与初入社会的阶段，面临人生重大选择。,Schooling and entering society. Facing major life choices.
TRAIT_LITTLE_SINGER_NAME,小歌唱家,Little Singer
TRAIT_LITTLE_SINGER_DESC,幼儿园表演表现出色,Performed excellently at kindergarten show
TRAIT_HAPPY_CHILDHOOD_NAME,快乐童年,Happy Childhood
TRAIT_HAPPY_CHILDHOOD_DESC,无忧无虑的童年时光,Carefree childhood days
TRAIT_MATH_TALENT_NAME,数学天赋,Math Talent
TRAIT_MATH_TALENT_DESC,对数学有天然直觉,Natural intuition for mathematics
TRAIT_CODING_TALENT_NAME,编程天赋,Coding Talent
TRAIT_CODING_TALENT_DESC,对编程有浓厚兴趣,Strong interest in programming
TRAIT_TOUGH_GUY_NAME,硬汉,Tough Guy
TRAIT_TOUGH_GUY_DESC,吃得了苦，扛得住压,"Can endure hardship, handle pressure"
TRAIT_HAS_BACKING_NAME,有人撑腰,Well-Connected
TRAIT_HAS_BACKING_DESC,背后有贵人相助,Has influential backers
TRAIT_DROPOUT_NAME,辍学,Dropout
TRAIT_DROPOUT_DESC,中途辍学，但社会经验丰富,"Left school early, but rich in social experience"
TRAIT_TOP_UNIVERSITY_NAME,名校出身,Top University Grad
TRAIT_TOP_UNIVERSITY_DESC,考入顶尖大学,Got into a top-tier university
TRAIT_BACHELOR_NAME,本科学历,Bachelor's Degree
TRAIT_BACHELOR_DESC,获得大学本科学历,Earned a bachelor's degree
TRAIT_EARLY_STARTER_NAME,提前起跑,Early Starter
TRAIT_EARLY_STARTER_DESC,比同龄人更早进入职场,Entered workforce earlier than peers
TRAIT_MASTER_STUDENT_NAME,研究生,Graduate Student
TRAIT_MASTER_STUDENT_DESC,继续深造获得硕士学位,Continued studies for master's degree
TRAIT_ENTREPRENEUR_NAME,创业先锋,Entrepreneur
TRAIT_ENTREPRENEUR_DESC,选择创业路线,Chose the startup path
TRAIT_MARRIED_NAME,已婚,Married
TRAIT_MARRIED_DESC,步入婚姻殿堂,Entered marriage
TRAIT_BIG_HOUSE_NAME,大房子,Big House Owner
TRAIT_BIG_HOUSE_DESC,拥有宽敞的住房,Owns a spacious home
TRAIT_RENT_FOREVER_NAME,永远租房,Perpetual Renter
TRAIT_RENT_FOREVER_DESC,一直在租房生活,Always renting
TRAIT_FILIAL_CHILD_NAME,孝顺子女,Filial Child
TRAIT_FILIAL_CHILD_DESC,子女孝顺，晚年幸福,"Children are filial, happy old age"
TRAIT_HIRE_NANNY_NAME,请保姆,Nanny Employer
TRAIT_HIRE_NANNY_DESC,请保姆照顾家庭,Hired nanny for home care
TRAIT_ACCEPT_FATE_NAME,认命,Accept Fate
TRAIT_ACCEPT_FATE_DESC,接受命运的安排,Accepts destiny's arrangement
TRAIT_CAREER_FOCUS_NAME,事业为重,Career-Focused
TRAIT_CAREER_FOCUS_DESC,没有家庭牵绊，全力投入事业,"No family ties, fully devoted to career"
TRAIT_STRONG_WILL_NAME,坚韧意志,Strong Will
TRAIT_STRONG_WILL_DESC,面对病痛依然坚强，意志力转化为防御,Remains strong despite illness; willpower converts to defense
TRAIT_FAMILY_HAPPINESS_NAME,家庭幸福,Family Happiness
TRAIT_FAMILY_HAPPINESS_DESC,家人陪伴，情感支持让你更坚韧,Family support strengthens you
TRAIT_WISE_ELDER_NAME,智慧长者,Wise Elder
TRAIT_WISE_ELDER_DESC,人生阅历化为智慧,Life experience becomes wisdom
ENDING_LEGENDARY_LIFE_NAME,传奇人生,Legendary Life
ENDING_LEGENDARY_LIFE_DESC,你的一生堪称传奇，智慧与勇气兼备，此生无憾。,"Your life was truly legendary. Wisdom and courage combined, no regrets."
ENDING_LEGENDARY_LIFE_PHRASE,成为了后人传颂的传奇,Became a legend passed down through generations
ENDING_EXTRAORDINARY_LIFE_NAME,精彩人生,Extraordinary Life
ENDING_EXTRAORDINARY_LIFE_DESC,你的人生经历丰富多彩，积累了深厚的智慧，堪称精彩。,"Your life was rich and colorful, accumulating deep wisdom. Truly extraordinary."
ENDING_EXTRAORDINARY_LIFE_PHRASE,留下了一段精彩的故事,Left behind a brilliant story
ENDING_SUCCESSFUL_LIFE_NAME,成功人生,Successful Life
ENDING_SUCCESSFUL_LIFE_DESC,你凭借智慧和勇气，度过了成功的一生。,"With wisdom and courage, you lived a successful life."
ENDING_SUCCESSFUL_LIFE_PHRASE,安详地闭上了眼睛,Closed eyes peacefully
ENDING_BRAVE_LIFE_NAME,勇敢人生,Brave Life
ENDING_BRAVE_LIFE_DESC,你的一生充满勇气，敢于面对一切挑战。,"Your life was full of courage, facing every challenge head-on."
ENDING_BRAVE_LIFE_PHRASE,无惧地走完了最后一程,Walked the final journey without fear
ENDING_PEACEFUL_DEPARTURE_NAME,安详离去,Peaceful Departure
ENDING_PEACEFUL_DEPARTURE_DESC,虽然健康不再，但你此生无憾，平静地接受了命运的安排。,"Though health faded, you had no regrets. Calmly accepted destiny's arrangement."
ENDING_PEACEFUL_DEPARTURE_PHRASE,带着满足的微笑离开了,Departed with a content smile
ENDING_ORDINARY_LIFE_NAME,平凡人生,Ordinary Life
ENDING_ORDINARY_LIFE_DESC,平凡但充实的一生，虽无大起大落，但也有自己的小确幸。,"Ordinary but fulfilling. No great ups and downs, but your own small joys."
ENDING_ORDINARY_LIFE_PHRASE,平静地画上了句号,Quietly drew a period
ENDING_FADING_AWAY_NAME,渐渐消逝,Fading Away
ENDING_FADING_AWAY_DESC,健康每况愈下，你感到生命力在一点点流逝。,Health declined steadily. You felt vitality ebbing away bit by bit.
ENDING_FADING_AWAY_PHRASE,在病榻上缓缓闭上了眼,Slowly closed eyes on the sickbed
ENDING_REGRETFUL_LIFE_NAME,遗憾人生,Regretful Life
ENDING_REGRETFUL_LIFE_DESC,如果重来一次，你一定会做出不同的选择。,"If you could do it over, you would make different choices."
ENDING_REGRETFUL_LIFE_PHRASE,带着遗憾离开了这个世界,Left this world with regret
ENDING_HUMBLE_LIFE_NAME,朴实人生,Humble Life
ENDING_HUMBLE_LIFE_DESC,你的一生朴实无华，默默无闻地走完了全程。,"A simple, unremarkable life, quietly completed the full journey."
ENDING_HUMBLE_LIFE_PHRASE,悄无声息地离开了,Departed without a sound
ENDING_SUFFERING_END_NAME,痛苦终局,Suffering End
ENDING_SUFFERING_END_DESC,病痛折磨着你最后的时光，你带着痛苦离开了。,Illness tormented your final days. You departed in pain.
ENDING_SUFFERING_END_PHRASE,在痛苦中挣扎着走完了最后一程,Struggled through the final journey in pain
ACHIEVEMENT_ACH_FIRST_BLOOD_NAME,第一滴血,First Blood
ACHIEVEMENT_ACH_FIRST_BLOOD_DESC,首次完成战斗,Completed first battle
ACHIEVEMENT_ACH_PERFECT_LIFE_NAME,完美一生,Perfect Life
ACHIEVEMENT_ACH_PERFECT_LIFE_DESC,达成S级结局,Achieved S-rank ending
ACHIEVEMENT_ACH_SUCCESSFUL_LIFE_NAME,成功人生,Successful Life
ACHIEVEMENT_ACH_SUCCESSFUL_LIFE_DESC,达成A级结局,Achieved A-rank ending
ACHIEVEMENT_ACH_BATTLE_MASTER_NAME,百战百胜,Battle Master
ACHIEVEMENT_ACH_BATTLE_MASTER_DESC,累计赢得10场战斗,Won 10 battles total
ACHIEVEMENT_ACH_S_RANK_BATTLE_NAME,无伤通关,Flawless Victory
ACHIEVEMENT_ACH_S_RANK_BATTLE_DESC,以S级评价完成一场战斗,Completed a battle with S-rank rating
ACHIEVEMENT_ACH_TOP_UNIVERSITY_NAME,名校出身,Top University
ACHIEVEMENT_ACH_TOP_UNIVERSITY_DESC,考入顶尖大学,Got into a top-tier university
ACHIEVEMENT_ACH_ENTREPRENEUR_NAME,创业先锋,Entrepreneur
ACHIEVEMENT_ACH_ENTREPRENEUR_DESC,选择创业路线,Chose the startup path
ACHIEVEMENT_ACH_MARRIED_NAME,修成正果,Tied the Knot
ACHIEVEMENT_ACH_MARRIED_DESC,步入婚姻殿堂,Entered marriage
ACHIEVEMENT_ACH_ALL_STAGES_NAME,人生百态,Full Life Experience
ACHIEVEMENT_ACH_ALL_STAGES_DESC,经历所有人生阶段,Experienced all life stages
ACHIEVEMENT_ACH_SURVIVE_DEADLY_NAME,死里逃生,Cheated Death
ACHIEVEMENT_ACH_SURVIVE_DEADLY_DESC,在致命事件中存活,Survived a fatal event
ACHIEVEMENT_ACH_FARMER_TO_RICH_NAME,寒门贵子,Rags to Riches
ACHIEVEMENT_ACH_FARMER_TO_RICH_DESC,以农民家庭出身达成A级以上结局,Achieved A-rank or above starting from farmer family
ACHIEVEMENT_ACH_ALL_FAMILIES_NAME,百味人生,All Walks of Life
ACHIEVEMENT_ACH_ALL_FAMILIES_DESC,以所有家庭背景各完成一次游戏,Completed a game with each family background
ATTR_CHARM_DISPLAY_NAME,魅力,Charm
ATTR_COURAGE_DISPLAY_NAME,勇气,Courage
ATTR_HEALTH_DISPLAY_NAME,健康,Health
ATTR_INTELLIGENCE_DISPLAY_NAME,智力,Intelligence
ATTR_LUCK_DISPLAY_NAME,运气,Luck
ATTR_WORK_ABILITY_DISPLAY_NAME,工作能力,Work Ability
FAMILY_CADRE_NAME,干部家庭,Cadre Family
FAMILY_CADRE_DESC,父：公务员，母：教师,"Father: Civil servant, Mother: Teacher"
FAMILY_CADRE_TRAIT_0_TEXT,金币获取+30%,Gold income +30%
FAMILY_CADRE_TRAIT_1_TEXT,经验获取+10%,Exp gain +10%
FAMILY_MERCHANT_NAME,商人家庭,Merchant Family
FAMILY_MERCHANT_DESC,父：个体户，母：家庭主妇,"Father: Self-employed, Mother: Homemaker"
FAMILY_MERCHANT_TRAIT_0_TEXT,金币获取+50%,Gold income +50%
FAMILY_MERCHANT_TRAIT_1_TEXT,生命-20,HP -20
FAMILY_WORKER_NAME,工人家庭,Worker Family
FAMILY_WORKER_DESC,父：工人，母：工人,"Father: Worker, Mother: Worker"
FAMILY_WORKER_TRAIT_0_TEXT,建造成本-10%,Build cost -10%
FAMILY_WORKER_TRAIT_1_TEXT,生命+30,HP +30
FAMILY_FARMER_NAME,农民家庭,Farmer Family
FAMILY_FARMER_DESC,父：农民，母：农民,"Father: Farmer, Mother: Farmer"
FAMILY_FARMER_TRAIT_0_TEXT,建造成本-15%,Build cost -15%
FAMILY_FARMER_TRAIT_1_TEXT,经验获取+15%,Exp gain +15%
FAMILY_TEACHER_NAME,教师家庭,Teacher Family
FAMILY_TEACHER_DESC,父：大学教授，母：中学教师,"Father: Professor, Mother: Teacher"
FAMILY_TEACHER_TRAIT_0_TEXT,经验获取+20%,Exp gain +20%
FAMILY_TEACHER_TRAIT_1_TEXT,金币获取+10%,Gold income +10%
FAMILY_MILITARY_NAME,军人家庭,Military Family
FAMILY_MILITARY_DESC,父：军官，母：军医,"Father: Officer, Mother: Military Doctor"
FAMILY_MILITARY_TRAIT_0_TEXT,生命+20,HP +20
FAMILY_MILITARY_TRAIT_1_TEXT,建造成本-5%,Build cost -5%
FAMILY_ARTIST_NAME,艺术家庭,Artist Family
FAMILY_ARTIST_DESC,父：画家，母：音乐家,"Father: Painter, Mother: Musician"
FAMILY_ARTIST_TRAIT_0_TEXT,金币获取+15%,Gold income +15%
FAMILY_ARTIST_TRAIT_1_TEXT,经验获取+10%,Exp gain +10%
FAMILY_DOCTOR_NAME,医生家庭,Doctor Family
FAMILY_DOCTOR_DESC,父：外科医生，母：药剂师,"Father: Surgeon, Mother: Pharmacist"
FAMILY_DOCTOR_TRAIT_0_TEXT,生命+25,HP +25
FAMILY_DOCTOR_TRAIT_1_TEXT,金币获取+20%,Gold income +20%
FAMILY_RURAL_POOR_NAME,贫困农家,Poor Rural Family
FAMILY_RURAL_POOR_DESC,父：务农，母：务农，祖产微薄,"Father: Farmer, Mother: Farmer, Meager heritage"
FAMILY_RURAL_POOR_TRAIT_0_TEXT,建造成本-20%,Build cost -20%
FAMILY_RURAL_POOR_TRAIT_1_TEXT,金币获取-10%,Gold income -10%
FAMILY_CELEBRITY_NAME,名流家庭,Celebrity Family
FAMILY_CELEBRITY_DESC,父：企业家，母：知名人士,"Father: Entrepreneur, Mother: Celebrity"
FAMILY_CELEBRITY_TRAIT_0_TEXT,金币获取+40%,Gold income +40%
FAMILY_CELEBRITY_TRAIT_1_TEXT,经验获取+15%,Exp gain +15%
LIFE_CHOICE_TITLE,人生选择,Life Choice
LIFE_CHOICE_TAB_BIRTHDAY,生日,Birthday
LIFE_CHOICE_TAB_FAMILY,家庭,Family
LIFE_CHOICE_TAB_TRAIT,先天特质,Congenital Traits
LIFE_CHOICE_TAB_ATTRIBUTE,属性,Attributes
LIFE_CHOICE_APPEARANCE,换外观,Appearance
LIFE_CHOICE_POINTS_TOTAL_SHORT,单点数,Destiny Points
LIFE_CHOICE_POINTS_TOTAL,命运点数,Destiny Points
LIFE_CHOICE_POINTS_REMAINING,剩余,Remaining
LIFE_CHOICE_POINTS_SPENT,已消耗,Spent
LIFE_CHOICE_CONFIRM,确认开始人生,Confirm & Start Life
LIFE_CHOICE_BACK,返回主菜单,Back to Menu
LIFE_CHOICE_RANDOMIZE,随机,Randomize
LIFE_CHOICE_BIRTHDAY_LABEL,选择出生月份,Select Birth Month
LIFE_CHOICE_FAMILY_COST,点数消耗,Point Cost
LIFE_CHOICE_FAMILY_INITIAL_TOWERS,初始防御塔,Initial Towers
LIFE_CHOICE_TRAIT_COST,消耗,Cost
LIFE_CHOICE_TRAIT_SELECTED,已选,Selected
LIFE_CHOICE_TRAIT_SELECTED_NONE,暂未选择任何特质,No traits selected
LIFE_CHOICE_TRAIT_SELECTED_FMT,已选：%s,Selected: %s
BIRTHDAY_UNIT_YEAR,年,Year
BIRTHDAY_ZODIAC_PREFIX,星座：,Zodiac:
ZODIAC_CAPRICORN,摩羯座,Capricorn
ZODIAC_AQUARIUS,水瓶座,Aquarius
ZODIAC_PISCES,双鱼座,Pisces
ZODIAC_ARIES,白羊座,Aries
ZODIAC_TAURUS,金牛座,Taurus
ZODIAC_GEMINI,双子座,Gemini
ZODIAC_CANCER,巨蟹座,Cancer
ZODIAC_LEO,狮子座,Leo
ZODIAC_VIRGO,处女座,Virgo
ZODIAC_LIBRA,天秤座,Libra
ZODIAC_SCORPIO,天蝎座,Scorpio
ZODIAC_SAGITTARIUS,射手座,Sagittarius
LIFE_CHOICE_ATTR_BASE,基础,Base
LIFE_CHOICE_ATTR_CURRENT,当前,Current
LIFE_CHOICE_POINTS_NEGATIVE_WARNING,点数不足！,Not enough points!
BIRTHDAY_SPRING,春季,Spring
BIRTHDAY_SUMMER,夏季,Summer
BIRTHDAY_AUTUMN,秋季,Autumn
BIRTHDAY_WINTER,冬季,Winter
BIRTHDAY_MONTH_1,一月,January
BIRTHDAY_MONTH_2,二月,February
BIRTHDAY_MONTH_3,三月,March
BIRTHDAY_MONTH_4,四月,April
BIRTHDAY_MONTH_5,五月,May
BIRTHDAY_MONTH_6,六月,June
BIRTHDAY_MONTH_7,七月,July
BIRTHDAY_MONTH_8,八月,August
BIRTHDAY_MONTH_9,九月,September
BIRTHDAY_MONTH_10,十月,October
BIRTHDAY_MONTH_11,十一月,November
BIRTHDAY_MONTH_12,十二月,December
ERA_CHINA_MODERN_NAME,中国现代,Modern China
ERA_CHINA_MODERN_TIME_PERIOD,1949-至今,1949-Present
TOWER_TYPE_ACADEMIC,学科塔,Academic Tower
TOWER_TYPE_SKILL,技能塔,Skill Tower
TOWER_TYPE_ADVANCED,进阶,Advanced
TOWER_TYPE_SPECIAL,特殊,Special
TIER_BASIC,基础,Basic
TIER_ADVANCED,高级,Advanced
TIER_MASTER,大师,Master
TIER_RUIN,废墟,Ruin
TIER_ELITE,精英,Elite
TIER_BOSS,BOSS,BOSS
TIER_ULTIMATE_BOSS,终极BOSS,Ultimate BOSS
ENEMY_TYPE_ACADEMIC,学业压力,Academic Pressure
ENEMY_TYPE_ECONOMIC,经济压力,Economic Pressure
ENEMY_TYPE_SOCIAL,社会压力,Social Pressure
ENEMY_TYPE_HEALTH,健康威胁,Health Threat
ENEMY_TYPE_MENTAL,心理压力,Mental Pressure
ENEMY_TYPE_BOSS,BOSS,BOSS
SE_SLOW_NAME,减速,Slow
SE_SLOW_DESC,降低敌人移动速度,Reduces enemy movement speed
SE_DOT_NAME,持续伤害,Damage Over Time
SE_DOT_DESC,对敌人造成持续伤害,Deals ongoing damage to enemies
SE_AOE_NAME,范围攻击,Area Attack
SE_AOE_DESC,对范围内所有敌人造成伤害,Deals damage to all enemies in range
SE_CRIT_NAME,暴击,Critical Hit
SE_CRIT_DESC,有概率造成双倍伤害,Chance to deal double damage
SE_PIERCE_NAME,穿透,Pierce
SE_PIERCE_DESC,弹丸可穿透多个敌人,Projectiles can pierce through multiple enemies
SE_CULTURAL_SUPPRESSION_NAME,文化压制,Cultural Suppression
SE_CULTURAL_SUPPRESSION_DESC,对特定标签敌人造成额外伤害,Deals bonus damage to enemies with specific tags
SE_SLOW_AURA_NAME,减速光环,Slow Aura
SE_SLOW_AURA_DESC,减速范围内所有敌人,Slows all enemies within range
SE_SINGLE_CONTROL_NAME,单体控制,Single Target Control
SE_SINGLE_CONTROL_DESC,有概率眩晕敌人,Chance to stun an enemy
SE_SUMMON_NAME,召唤,Summon
SE_SUMMON_DESC,召唤临时辅助防御塔,Summons a temporary helper tower
SE_GOLD_BONUS_NAME,金币加成,Gold Bonus
SE_GOLD_BONUS_DESC,击杀敌人获得额外金币,Extra gold per enemy kill
SE_CONFUSION_NAME,混乱,Confusion
SE_CONFUSION_DESC,使敌人反向移动,Causes enemies to move backwards
SE_ARMOR_BREAK_NAME,破甲,Armor Break
SE_ARMOR_BREAK_DESC,降低敌人护甲,Reduces enemy armor
SE_DEBUFF_NAME,削弱,Debuff
SE_DEBUFF_DESC,降低敌人属性,Weakens enemy stats
SE_BUFF_AURA_NAME,增益光环,Buff Aura
SE_BUFF_AURA_DESC,提升范围内友方防御塔属性,Boosts nearby tower stats
SE_BURN_NAME,灼烧,Burn
SE_BURN_DESC,点燃敌人造成持续伤害,Sets enemies ablaze for ongoing damage
SE_SILENCE_NAME,沉默,Silence
SE_SILENCE_DESC,使敌人无法使用特殊能力,Prevents enemies from using special abilities
BTN_SUMMON,立即召唤,Summon Now
ATTR_FORMAT,%s：%d,%s: %d
SEPARATOR_DUN,、,", ",  
SEPARATOR_SEMICOLON,；,; 
RATING_UNKNOWN,未知评价,Unknown Rating
REQUIREMENT_FORMAT,%s≥%d,%s>=%d
TOWER_NAME_LV,%s Lv.%d,%s Lv.%d
TOWER_NAME_LEVEL,%s  Lv.%d,%s  Lv.%d
EFFECT_TOWER_DAMAGE_SHORT,塔伤害+%.0f%%,Dmg +%.0f%%
EFFECT_TOWER_SPEED_SHORT,塔攻速+%.0f%%,Spd +%.0f%%
EFFECT_GOLD_SHORT,金币%+d,Gold %+d
EFFECT_HEALTH_SHORT,生命%+d,HP %+d
EFFECT_GOLD_PER_WAVE_SHORT,每波金币+%d,Gold/Wave +%d
EFFECT_DAMAGE_REDUCTION_SHORT,伤害减免%.0f%%,DR %.0f%%
EFFECT_EVENT_TRIGGER_SHORT,事件触发率%+.0f%%,Event Rate %+.0f%%
TRAITS_SEPARATOR, | , | 
TRAITS_EFFECT_SEPARATOR,：,: 
WAVE_ANNOUNCEMENT,⚔ 波次 %d/%d,⚔ Wave %d/%d
TOWER_SLOT,塔位,Slot
TOWER_SLOT_TOOLTIP,点击建造防御塔,Click to build tower
PAUSED,暂停,Paused
TOWER_STATS_FORMAT,伤害：%d  攻速：%.1f  射程：%.0f,Dmg:%d  Spd:%.1f  Rng:%.0f
AGE_PLUS_ONE,年龄 +1,Age +1
BTN_CONTINUE,继续,Continue
RATING_S,完美防御！老家毫发无损。,Flawless defense! Base took no damage.
RATING_A,出色表现！老家受损轻微。,Excellent! Base slightly damaged.
RATING_B,中规中矩，老家受损近半。,Decent. Base about half damaged.
RATING_C,勉强过关，老家岌岌可危。,Barely passed. Base in critical condition.
RATING_D,老家沦陷，战斗失败。,Base fallen. Battle failed.
BUFF_HOME_HEALTH,老家生命+20%,Base HP +20%
UNLOCK_ERA_ANCIENT_GREECE,Ancient Greece,Ancient Greece
UNLOCK_ERA_MING_QING,Ming & Qing China,Ming & Qing China
UNLOCK_PROFESSION_DOCTOR,Doctor,Doctor
UNLOCK_PROFESSION_LAWYER,Lawyer,Lawyer
UNLOCK_PROFESSION_PROGRAMMER,Programmer,Programmer
UNLOCK_DIFFICULTY_EASY,Easy Mode,Easy Mode
UNLOCK_DIFFICULTY_HARD,Hard Mode,Hard Mode
UNLOCK_DIFFICULTY_HELL,Hell Mode,Hell Mode
